bug_id,Solhint_rule_id,Solhint_level,Oyente_rule_id,Oyente_level,HoneyBadger_rule_id,HoneyBadger_level,Osiris_rule_id,Osiris_level,Securify_rule_id,Securify_level,Manticore_rule_id,Manticore_level,SmartCheck_rule_id,SmartCheck_level,Slither_rule_id,Slither_level,Mythril_rule_id,Mythril_level,Maian_rule_id,Maian_level,Conkas_rule_id,Conkas_level
dataset/front_running/ERC20.sol:2,Ignore_41,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset/front_running/ERC20.sol:18,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset/front_running/ERC20.sol:22,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset/front_running/ERC20.sol:23,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset/front_running/ERC20.sol:24,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset/front_running/ERC20.sol:26,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset/front_running/ERC20.sol:27,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset/front_running/ERC20.sol:29,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset/front_running/ERC20.sol:30,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset/front_running/ERC20.sol:35,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset/front_running/ERC20.sol:36,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset/front_running/ERC20.sol:37,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset/front_running/ERC20.sol:40,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset/front_running/ERC20.sol:41,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset/front_running/ERC20.sol:46,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset/front_running/ERC20.sol:47,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset/front_running/ERC20.sol:48,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset/front_running/ERC20.sol:50,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset/front_running/ERC20.sol:51,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset/front_running/ERC20.sol:56,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset/front_running/ERC20.sol:57,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset/front_running/ERC20.sol:58,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset/front_running/ERC20.sol:60,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
